ordtype;uid;is_buy;qty;price;timestamp
cancel;162;;15;;2019-05-23 09:10:31.062
new;198;False;41;95.8;2019-05-23 09:10:31.062
new;199;True;1;95.7;2019-05-23 09:10:31.073
cancel;197;;44;;2019-05-23 09:10:31.084
new;200;True;5;95.6;2019-05-23 09:10:31.297
cancel;179;;32;;2019-05-23 09:10:31.446
cancel;144;;836;;2019-05-23 09:10:32.034
cancel;165;;34;;2019-05-23 09:10:32.034
cancel;176;;15;;2019-05-23 09:10:32.034
new;201;True;67;95.65;2019-05-23 09:10:32.034
new;202;True;33;95.6;2019-05-23 09:10:32.034
new;203;False;67;95.65;2019-05-23 09:10:32.034
new;204;True;885;95.15;2019-05-23 09:10:32.035
cancel;89;;34;;2019-05-23 09:10:32.035
new;205;False;54;95.65;2019-05-23 09:10:32.035
cancel;196;;17;;2019-05-23 09:10:32.037
cancel;141;;7;;2019-05-23 09:10:32.037
cancel;189;;57;;2019-05-23 09:10:32.041
cancel;202;;33;;2019-05-23 09:10:32.041
cancel;167;;63;;2019-05-23 09:10:32.059
new;206;True;40;95.5;2019-05-23 09:10:32.068
cancel;161;;63;;2019-05-23 09:10:32.103
new;207;True;63;95.5;2019-05-23 09:10:32.103
new;208;True;33;95.6;2019-05-23 09:10:32.450
new;209;True;54;95.65;2019-05-23 09:10:32.455
new;210;False;34;96.15;2019-05-23 09:10:32.455
cancel;188;;33;;2019-05-23 09:10:32.472
cancel;207;;63;;2019-05-23 09:10:32.476
cancel;190;;11;;2019-05-23 09:10:32.517
new;211;False;870;96.2;2019-05-23 09:10:32.517
cancel;148;;250;;2019-05-23 09:10:32.519
cancel;198;;41;;2019-05-23 09:10:32.545
new;212;False;42;95.85;2019-05-23 09:10:33.640
new;213;False;63;95.9;2019-05-23 09:10:35.037
new;214;True;63;95.45;2019-05-23 09:10:35.037
new;215;True;33;95.4;2019-05-23 09:10:37.567
new;216;True;9;95.3;2019-05-23 09:10:37.567
cancel;204;;885;;2019-05-23 09:10:38.408
new;217;True;33;95.65;2019-05-23 09:10:38.408
new;218;True;17;95.55;2019-05-23 09:10:38.410
cancel;183;;22;;2019-05-23 09:10:38.411
cancel;155;;34;;2019-05-23 09:10:38.413
new;219;True;47;95.65;2019-05-23 09:10:38.414
cancel;206;;40;;2019-05-23 09:10:38.436
cancel;219;;47;;2019-05-23 09:10:38.497
new;220;False;33;95.8;2019-05-23 09:10:38.679
new;221;True;42;95.55;2019-05-23 09:10:39.620
new;222;True;47;95.65;2019-05-23 09:10:45.735
cancel;158;;7;;2019-05-23 09:10:45.736
new;223;True;17;95.6;2019-05-23 09:10:45.736
cancel;220;;33;;2019-05-23 09:11:00.746
new;224;False;34;96.25;2019-05-23 09:11:00.746
cancel;130;;34;;2019-05-23 09:11:01.038
cancel;175;;6;;2019-05-23 09:11:01.038
new;225;True;15;95.7;2019-05-23 09:11:01.038
new;226;True;250;95.4;2019-05-23 09:11:01.053
cancel;221;;42;;2019-05-23 09:11:01.079
cancel;214;;63;;2019-05-23 09:11:01.090
new;227;True;63;95.55;2019-05-23 09:11:01.090
new;228;True;43;95.6;2019-05-23 09:11:02.091
new;229;True;17;95.65;2019-05-23 09:11:02.277
new;230;True;65;95.75;2019-05-23 09:11:09.328
new;231;True;164;95.75;2019-05-23 09:11:09.328
new;232;True;57;95.75;2019-05-23 09:11:09.328
new;233;False;284;96.3;2019-05-23 09:11:09.328
cancel;104;;34;;2019-05-23 09:11:09.328
cancel;174;;31;;2019-05-23 09:11:09.328
new;234;True;221;95.75;2019-05-23 09:11:09.328
new;235;True;34;95.7;2019-05-23 09:11:09.328
cancel;156;;7;;2019-05-23 09:11:09.328
new;236;False;250;96.1;2019-05-23 09:11:09.328
cancel;191;;250;;2019-05-23 09:11:09.328
cancel;140;;33;;2019-05-23 09:11:09.328
new;237;True;17;95.7;2019-05-23 09:11:09.328
new;238;True;34;95.75;2019-05-23 09:11:09.329
cancel;166;;7;;2019-05-23 09:11:09.329
cancel;153;;7;;2019-05-23 09:11:09.329
new;239;True;11;95.7;2019-05-23 09:11:09.329
cancel;234;;221;;2019-05-23 09:11:09.346
cancel;228;;43;;2019-05-23 09:11:09.351
modif;211;;836;;2019-05-23 09:11:09.355
cancel;212;;42;;2019-05-23 09:11:09.355
new;240;False;33;96.35;2019-05-23 09:11:09.355
cancel;129;;33;;2019-05-23 09:11:09.355
cancel;236;;250;;2019-05-23 09:11:09.355
new;241;False;250;96.2;2019-05-23 09:11:09.355
cancel;213;;63;;2019-05-23 09:11:09.381
new;242;False;63;96.0;2019-05-23 09:11:09.381
cancel;146;;7;;2019-05-23 09:11:09.381
cancel;195;;213;;2019-05-23 09:11:09.389
new;243;True;11;95.75;2019-05-23 09:11:09.391
cancel;194;;203;;2019-05-23 09:11:09.408
new;244;False;11;95.9;2019-05-23 09:11:09.506
cancel;193;;1026;;2019-05-23 09:11:09.556
cancel;222;;47;;2019-05-23 09:11:09.857
cancel;242;;63;;2019-05-23 09:11:10.038
new;245;True;216;95.55;2019-05-23 09:11:10.441
new;246;False;205;96.1;2019-05-23 09:11:10.441
new;247;True;44;95.65;2019-05-23 09:11:10.441
new;248;False;43;96.0;2019-05-23 09:11:10.441
new;249;False;1046;96.25;2019-05-23 09:11:10.900
new;250;False;63;96.05;2019-05-23 09:11:12.037
cancel;243;;11;;2019-05-23 09:11:12.721
new;251;True;17;95.75;2019-05-23 09:11:12.722
new;252;False;17;96.05;2019-05-23 09:11:12.722
new;253;False;17;96.0;2019-05-23 09:11:17.299
new;254;True;11;95.75;2019-05-23 09:11:20.311
cancel;244;;11;;2019-05-23 09:11:20.311
new;255;False;22;95.9;2019-05-23 09:11:25.134
cancel;254;;11;;2019-05-23 09:11:25.135
new;256;False;100;95.9;2019-05-23 09:11:25.602
cancel;77;;34;;2019-05-23 09:11:30.036
cancel;134;;250;;2019-05-23 09:11:30.036
cancel;173;;7;;2019-05-23 09:11:30.036
cancel;192;;1121;;2019-05-23 09:11:30.036
cancel;216;;9;;2019-05-23 09:11:30.036
new;257;True;10;95.85;2019-05-23 09:11:30.036
cancel;171;;7;;2019-05-23 09:11:30.036
new;258;True;250;95.55;2019-05-23 09:11:30.056
cancel;247;;44;;2019-05-23 09:11:30.063
